Ensembl Gene ID,Gene name,Description,Median Xpresso Predictions (10-fold-cross-validated),K562 Xpresso Predictions (10-fold-cross-validated),GM12878 Xpresso Predictions (10-fold-cross-validated),SuRE activity,E003,E004,E005,E006,E007,E011,E012,E013,E016,E024,E027,E028,E037,E038,E047,E050,E053,E054,E055,E056,E057,E058,E059,E061,E062,E065,E066,E070,E071,E079,E082,E084,E085,E087,E094,E095,E096,E097,E098,E100,E104,E105,E106,E109,E112,E113,E114,E116,E117,E118,E119,E120,E122,E123,E127,E128,Median expression
ENSG00000000003,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],0.818,0.619,1.16,1.398,1.644,1.574,1.471,1.342,1.746,1.725,1.856,1.788,1.647,1.801,0.88,0.937,-0.17,0.174,0.125,0.752,1.205,1.435,0.815,0.592,0.803,1.011,0.954,1.169,-0.4,0.756,1.865,1.323,0.889,1.546,0.804,1.725,1.813,0.987,1.163,0.508,1.132,1.739,1.141,0.404,0.951,0.662,1.558,1.287,1.08,0.759,1.581,-0.86,1.631,1.7,1.066,1.077,1.642,-0.435,1.142,1.202,1.141
ENSG00000000005,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],-1.319,-1.076,-0.814,0.138,0.241,0.819,-1,-0.59,-0.987,-0.668,-0.728,-0.81,0.225,-0.083,-1,-1,-1,-1,-0.889,-1,-0.821,-0.77,-1,-1,-1,-1,-1,-0.975,-1,-1,-0.536,-1,-0.928,-0.455,-1,-0.177,-0.361,-0.886,-1,-0.77,-1,1.032,-0.281,-0.879,-0.205,-0.717,-0.516,-0.631,-0.109,-0.656,-1,-1,-1,-1,-1,-0.928,-1,-0.975,-1,-1,-0.951
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",0.925,1.246,1.237,1.858,1.548,1.766,1.684,1.575,1.663,1.654,1.608,1.624,1.713,1.547,1.802,1.68,1.658,1.673,1.585,1.573,1.048,1.091,1.435,1.336,1.459,1.649,1.123,1.353,1.459,1.723,1.722,1.199,1.34,1.424,0.902,1.478,1.48,1.513,1.75,1.509,1.417,1.632,1.296,1.831,1.665,1.529,1.595,1.678,1.789,1.74,1.719,1.899,2.03,1.799,1.628,1.74,1.224,1.868,1.753,1.752,1.626
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],0.571,0.313,0.44,1.365,0.431,0.388,0.948,0.451,0.58,0.603,0.709,0.629,0.53,0.513,0.578,0.42,0.876,0.938,0.901,1.248,0.531,0.644,0.58,0.21,0.231,0.606,0.296,0.676,0.743,0.546,0.684,0.538,0.366,0.734,0.488,0.934,0.99,0.755,0.766,0.435,0.603,0.889,0.745,1.04,0.42,0.464,0.788,0.665,0.949,0.747,0.693,1.049,0.95,0.439,0.412,0.419,0.423,0.889,0.705,0.581,0.617
ENSG00000000460,C1orf112,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565],0.257,0.576,0.415,1.593,0.829,0.9,0.871,-0.032,0.737,0.781,0.764,0.8,0.884,0.892,0.057,0.118,0.551,0.593,0.547,0.846,0.597,0.653,0.477,0.525,0.533,0.819,0.46,0.462,0.379,0.092,0.018,0.683,0.086,0.201,0.233,0.545,0.566,-0.043,0.13,-0.244,0.091,0.253,0.088,-0.209,-0.088,-0.1,0.3,0.312,0.51,0.238,0.909,1.141,1.406,0.541,0.676,0.358,0.623,1.346,0.53,0.413,0.527
ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",0.442,0.121,-0.074,-0.511,-0.507,-0.799,-0.963,-0.951,-0.947,-0.951,-0.951,-0.947,-0.712,-0.629,0.512,-0.262,0.593,0.52,0.916,0.715,-0.807,-0.955,-0.936,-0.963,-0.959,-0.987,-1,-0.939,2.343,1.117,0.67,-0.191,0.814,0.74,-0.265,0.201,-0.052,0.267,1.041,0.574,1.963,0.516,0.621,0.103,0.403,0.702,0.945,0.971,1.433,1.891,-0.987,1.993,-0.936,-0.967,-0.818,-0.996,-0.625,-0.936,-0.833,-1,-0.264
ENSG00000000971,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],-1.207,-0.959,-0.818,1.016,-1,-0.987,-0.963,1.623,-0.991,-0.955,-0.928,-0.656,-0.983,-0.991,-0.261,-0.434,0.679,-0.606,-0.195,1.202,-1,-1,0.308,-0.062,-0.921,-0.801,-0.304,-0.578,0.18,1.591,2.753,-0.191,0.923,1.777,-0.526,0.656,0.391,0.745,1.071,0.78,1.13,2.156,0.374,0.875,1.752,1.172,1.071,1.335,1.032,0.622,1.427,-0.991,2.097,-0.971,-0.285,1.6,0.933,1.619,0.161,1.516,0.341
ENSG00000001036,FUCA2,"fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]",-0.167,0.133,-0.161,1.341,1.694,1.401,1.411,1.936,1.343,1.523,1.35,1.575,1.546,1.667,0.515,1.009,0.657,0.533,0.503,1.235,1.473,1.393,1.655,1.675,1.146,1.327,1.466,1.635,1.111,1.376,1.641,0.991,1.099,1.308,0.645,1.855,2.024,1.667,1.552,1.521,1.511,1.55,1.395,0.982,1.372,1.617,1.623,1.709,1.065,1.236,1.607,1.262,1.73,1.875,1.084,1.658,1.437,1.778,1.052,1.917,1.452
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],0.579,0.658,0.373,1.414,0.849,1.009,0.673,0.776,0.816,0.743,0.841,0.494,1,0.818,0.923,1.577,0.708,0.664,0.774,1.068,0.473,0.536,0.344,0.101,0.662,1.14,0.418,0.807,0.756,0.74,1.413,0.265,0.861,0.939,0.259,1.138,1.251,0.821,1.046,0.605,0.906,0.632,0.654,0.715,0.634,0.586,0.798,1.083,0.911,1.221,1.664,0.669,1.023,1.007,1.271,0.217,0.429,0.455,1.363,0.73,0.787
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],1.001,0.704,0.811,1.862,1.128,1.167,1.419,1.12,1.336,1.493,1.488,1.454,1.375,1.281,1.267,1.285,1.383,1.47,1.379,1.617,1.275,1.336,1.244,1.012,1.041,1.156,0.88,1.145,1.325,0.909,0.803,1.476,1.021,0.934,1.385,1.248,1.259,0.991,0.936,0.794,0.902,1.23,0.955,1.095,0.854,0.774,1,0.918,1.318,1.093,0.984,1.07,1.101,1.009,0.921,0.927,1.007,1.197,1.071,0.802,1.124
